NN DaySlip — 2025-08-15  (meets: 6, 21, 24, 26, 25)
Taree  R3: 1) PRINCE RUPERT (#5 — Anna Roper)
Taree  R3: 2) I ALONE (#8 — Emily Farr)
Taree  R3: 3) WHATSTHETIMEMRWOLF* (#1 — Matthew McGuren)

Taree  R4: 1) CATS QUARTERS (#3 — Mollie Fitzgerald)
Taree  R4: 2) IMAREALAMERICAN (#1 — Benjamin Osmond)
Taree  R4: 3) IDOL SHOT (#5 — Bella Youngberry)

Taree  R5: 1) BOAMBEE BEACH* (#8 — Raymond Spokes)
Taree  R5: 2) PRINCE OF SORTS (#1 — Olivia Chambers)
Taree  R5: 3) TIME FOR VICTORY* (#2 — Benjamin Osmond)

Taree  R6: 1) GOT THE SMARTS (#5 — Mollie Fitzgerald)
Taree  R6: 2) TIME AND RHYTHM (#12 — Raymond Spokes)
Taree  R6: 3) DIZZY DEE (#6 — Jett Newman)

Taree  R7: 1) THE YOUNG YEARS (#7 — Bella Youngberry)
Taree  R7: 2) MY PEPPERJACK* (#12 — Mollie Fitzgerald)
Taree  R7: 3) STARLACCA (#11 — Winona Costin)

Taree  R8: 1) RUN RORY RUN* (#10 — Teighan Worsnop)
Taree  R8: 2) LEASE (#8 — Olivia Chambers)
Taree  R8: 3) CONTRIBUTINGFACTOR (#2 — Benjamin Osmond)

=========

Tamworth  R1: 1) IT'S A TATA (#3 — Izzy Neale)
Tamworth  R1: 2) BILLABONG ALVIN** (#2 — Aaron Bullock)
Tamworth  R1: 3) OUR GIRL HAYLEY* (#6 — Caine Stuart)

Tamworth  R2: 1) LANGHOLM DUSK (#8 — Jake Pracey-Holmes)
Tamworth  R2: 2) AETERNUS BELLATOR* (#1 — Donovan Dillon)
Tamworth  R2: 3) SETHNIQUE* (#5 — Kody Nestor)

Tamworth  R3: 1) POSH ANNIE (#9 — Jenny Duggan)
Tamworth  R3: 2) OAKFIELD VIRGINIA (#11 — Grant Buckley)
Tamworth  R3: 3) CRIMINAL ART* (#3 — Billy Cray)

Tamworth  R4: 1) NEWFANGLED JILL (#6 — Leeshelle Small)
Tamworth  R4: 2) CLOSETOTHINKITOVER (#11 — Jenny Duggan)
Tamworth  R4: 3) SPACETIME LEGEND (#9 — Andrew Gibbons)

Tamworth  R5: 1) YOTOTSU (#1 — Izzy Neale)
Tamworth  R5: 2) POINT OUT* (#2 — Aaron Bullock)
Tamworth  R5: 3) CROATIAN MADAME (#11 — Siena Grima)

Tamworth  R6: 1) RELEASE POINT (#4 — Aaron Bullock)
Tamworth  R6: 2) SHARPEN THE KNIVES (#9 — Christian Reith)
Tamworth  R6: 3) ST ROY (#17 — Serg Lisnyy)

Tamworth  R7: 1) NIMBLE STAR (#2 — Izzy Neale)
Tamworth  R7: 2) TOUGH GUY (#5 — Aaron Bullock)
Tamworth  R7: 3) SUPAIRO (#8 — Olivia Dalton)

Tamworth  R8: 1) LA PELAGO (#6 — Olivia Dalton)
Tamworth  R8: 2) SPIRIT OF PLUTO (#1 — Bronte Simpson)
Tamworth  R8: 3) SEMECO* (#7 — Andrew Gibbons)

